protocol,scenario,query_idx,query_name,query_text,method,retrieved_name,w_text,w_audio,u_text_norm,u_audio_norm,l2,acc@0.1,recall,cosine,module
Protocol-C,standard,1,Dreamy Shoegaze,Dreamy Shoegaze ambient dreamy_shoegaze guitar_tone audio_agent_preset,Text-only,Dreamy Shoegaze Ethereal,1.00000000,0.00000000,0.00010910,0.99974434,0.05232905,0.89655172,0.70000000,0.99010622,0.80000000
Protocol-C,standard,1,Dreamy Shoegaze,Dreamy Shoegaze ambient dreamy_shoegaze guitar_tone audio_agent_preset,TRR-only,Dreamy Shoegaze Ethereal,1.00000000,0.00000000,0.00010910,0.99974434,0.05232905,0.89655172,0.70000000,0.99010622,0.80000000
Protocol-C,standard,1,Dreamy Shoegaze,Dreamy Shoegaze ambient dreamy_shoegaze guitar_tone audio_agent_preset,Fusion,Dreamy Shoegaze Ethereal,1.00000000,0.00000000,0.00010910,0.99974434,0.05232905,0.89655172,0.70000000,0.99010622,0.80000000
Protocol-C,standard,2,Neo-Soul Clean,Neo-Soul Clean clean neo-soul_clean guitar_tone audio_agent_preset,Text-only,Neo-Soul Clean Rhythm,0.00000000,1.00000000,0.00259049,0.99281097,0.10079698,0.76190476,0.72727273,0.97535170,1.00000000
Protocol-C,standard,2,Neo-Soul Clean,Neo-Soul Clean clean neo-soul_clean guitar_tone audio_agent_preset,TRR-only,Neo-Soul Clean Rhythm,0.00000000,1.00000000,0.00259049,0.99281097,0.10079698,0.76190476,0.72727273,0.97535170,1.00000000
Protocol-C,standard,2,Neo-Soul Clean,Neo-Soul Clean clean neo-soul_clean guitar_tone audio_agent_preset,Fusion,Neo-Soul Clean Rhythm,0.00000000,1.00000000,0.00259049,0.99281097,0.10079698,0.76190476,0.72727273,0.97535170,1.00000000
Protocol-C,standard,3,80s Pop Clean,80s Pop Clean clean_fx 80s_pop_clean guitar_tone audio_agent_preset,Text-only,80s Pop Clean Studio,0.00000000,1.00000000,0.00001080,0.99518765,0.49437167,0.66666667,0.90909091,0.82131438,1.00000000
Protocol-C,standard,3,80s Pop Clean,80s Pop Clean clean_fx 80s_pop_clean guitar_tone audio_agent_preset,TRR-only,80s Pop Clean Studio,0.00000000,1.00000000,0.00001080,0.99518765,0.49437167,0.66666667,0.90909091,0.82131438,1.00000000
Protocol-C,standard,3,80s Pop Clean,80s Pop Clean clean_fx 80s_pop_clean guitar_tone audio_agent_preset,Fusion,80s Pop Clean Studio,0.00000000,1.00000000,0.00001080,0.99518765,0.49437167,0.66666667,0.90909091,0.82131438,1.00000000
Protocol-C,standard,4,Ambient Swells,Ambient Swells ambient ambient_swells guitar_tone audio_agent_preset,Text-only,Ambient Swells Ethereal,1.00000000,0.00000000,0.01078292,0.99999932,0.10533465,0.80952381,0.70000000,0.97435720,1.00000000
