query_song,condition,method,alpha,top_k,top1_song,topk_songs,l2,acc@0.1,recall,cosine,module,relevant_total,recall@k,mrr,ndcg@k
Mexican Mariachi,awgn_20db,fixed_fusion_a0.00,0.0,5,Appalachian Folk,"[""Appalachian Folk"", ""Bedroom Pop Lo-Fi"", ""Sea Shanty"", ""Mongolian Throat"", ""Post-Britpop""]",0.9006100354190166,0.9230769230769231,0.8695652173913043,0.9998985742239915,1.0,113.0,0.017699115044247787,1.0,0.48522855511632257
Mexican Mariachi,awgn_20db,fixed_fusion_a0.30,0.3,5,Appalachian Folk,"[""Appalachian Folk"", ""Mongolian Throat"", ""Psychedelic Folk"", ""Medieval Folk"", ""Ukrainian Folk""]",0.9006100354190166,0.9230769230769231,0.8695652173913043,0.9998985742239915,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_20db,fixed_fusion_a0.50,0.5,5,Appalachian Folk,"[""Appalachian Folk"", ""Mongolian Throat"", ""Mariachi Brass"", ""Psychedelic Folk"", ""Medieval Folk""]",0.9006100354190166,0.9230769230769231,0.8695652173913043,0.9998985742239915,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_20db,fixed_fusion_a0.70,0.7,5,Mariachi Brass,"[""Mariachi Brass"", ""Appalachian Folk"", ""Mongolian Throat"", ""Psychedelic Folk"", ""Medieval Folk""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_20db,fixed_fusion_a1.00,1.0,5,Mariachi Brass,"[""Mariachi Brass"", ""Psychedelic Folk"", ""Flamenco Guitar"", ""Traditional Irish"", ""Spanish Guitar""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_20db,adaptive_fusion,0.55,5,Appalachian Folk,"[""Appalachian Folk"", ""Mongolian Throat"", ""Mariachi Brass"", ""Psychedelic Folk"", ""Medieval Folk""]",0.9006100354190166,0.9230769230769231,0.8695652173913043,0.9998985742239915,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_10db,fixed_fusion_a0.00,0.0,5,Mongolian Throat,"[""Mongolian Throat"", ""Outlaw Country"", ""Ambient Guitar Loop"", ""Philly Soul Strings"", ""Appalachian Folk""]",0.9007966986549734,0.9230769230769231,0.8695652173913043,0.999898396515382,1.0,113.0,0.017699115044247787,1.0,0.4703652827859579
Mexican Mariachi,awgn_10db,fixed_fusion_a0.30,0.3,5,Mongolian Throat,"[""Mongolian Throat"", ""Appalachian Folk"", ""Psychedelic Folk"", ""Medieval Folk"", ""Ukrainian Folk""]",0.9007966986549734,0.9230769230769231,0.8695652173913043,0.999898396515382,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_10db,fixed_fusion_a0.50,0.5,5,Mongolian Throat,"[""Mongolian Throat"", ""Appalachian Folk"", ""Mariachi Brass"", ""Psychedelic Folk"", ""Medieval Folk""]",0.9007966986549734,0.9230769230769231,0.8695652173913043,0.999898396515382,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_10db,fixed_fusion_a0.70,0.7,5,Mariachi Brass,"[""Mariachi Brass"", ""Mongolian Throat"", ""Appalachian Folk"", ""Psychedelic Folk"", ""Medieval Folk""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_10db,fixed_fusion_a1.00,1.0,5,Mariachi Brass,"[""Mariachi Brass"", ""Psychedelic Folk"", ""Flamenco Guitar"", ""Traditional Irish"", ""Spanish Guitar""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_10db,adaptive_fusion,0.55,5,Mongolian Throat,"[""Mongolian Throat"", ""Mariachi Brass"", ""Appalachian Folk"", ""Psychedelic Folk"", ""Medieval Folk""]",0.9007966986549734,0.9230769230769231,0.8695652173913043,0.999898396515382,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_5db,fixed_fusion_a0.00,0.0,5,Mongolian Throat,"[""Mongolian Throat"", ""Outlaw Country"", ""Philly Soul Strings"", ""Ambient Guitar Loop"", ""Post-Britpop""]",0.9007966986549734,0.9230769230769231,0.8695652173913043,0.999898396515382,1.0,113.0,0.008849557522123894,1.0,0.3391602052736161
Mexican Mariachi,awgn_5db,fixed_fusion_a0.30,0.3,5,Mongolian Throat,"[""Mongolian Throat"", ""Appalachian Folk"", ""Psychedelic Folk"", ""Medieval Folk"", ""Ukrainian Folk""]",0.9007966986549734,0.9230769230769231,0.8695652173913043,0.999898396515382,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_5db,fixed_fusion_a0.50,0.5,5,Mongolian Throat,"[""Mongolian Throat"", ""Mariachi Brass"", ""Appalachian Folk"", ""Psychedelic Folk"", ""Medieval Folk""]",0.9007966986549734,0.9230769230769231,0.8695652173913043,0.999898396515382,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_5db,fixed_fusion_a0.70,0.7,5,Mariachi Brass,"[""Mariachi Brass"", ""Mongolian Throat"", ""Psychedelic Folk"", ""Appalachian Folk"", ""Medieval Folk""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_5db,fixed_fusion_a1.00,1.0,5,Mariachi Brass,"[""Mariachi Brass"", ""Psychedelic Folk"", ""Flamenco Guitar"", ""Traditional Irish"", ""Spanish Guitar""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_5db,adaptive_fusion,0.68,5,Mariachi Brass,"[""Mariachi Brass"", ""Mongolian Throat"", ""Psychedelic Folk"", ""Appalachian Folk"", ""Medieval Folk""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,mp3_128k,fixed_fusion_a0.00,0.0,5,Timba Cuban,"[""Timba Cuban"", ""Macedonian Brass"", ""Nepali Folk"", ""German Schlager"", ""Native American Flute""]",243.63146192951413,0.3508771929824561,0.0,0.12947398211506048,0.4444444444444444,113.0,0.02654867256637168,0.5,0.5296347172140421
Mexican Mariachi,mp3_128k,fixed_fusion_a0.30,0.3,5,Nepali Folk,"[""Nepali Folk"", ""Macedonian Brass"", ""Island Reggae"", ""Reggae Dubplate"", ""Mariachi Brass""]",1.0091914128114208,0.9487179487179487,0.9130434782608695,0.9998806646563629,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,mp3_128k,fixed_fusion_a0.50,0.5,5,Mariachi Brass,"[""Mariachi Brass"", ""Nepali Folk"", ""Macedonian Brass"", ""Island Reggae"", ""Reggae Dubplate""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,mp3_128k,fixed_fusion_a0.70,0.7,5,Mariachi Brass,"[""Mariachi Brass"", ""Nepali Folk"", ""Macedonian Brass"", ""Island Reggae"", ""Reggae Dubplate""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,mp3_128k,fixed_fusion_a1.00,1.0,5,Mariachi Brass,"[""Mariachi Brass"", ""Psychedelic Folk"", ""Flamenco Guitar"", ""Traditional Irish"", ""Spanish Guitar""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,mp3_128k,adaptive_fusion,0.55,5,Mariachi Brass,"[""Mariachi Brass"", ""Nepali Folk"", ""Macedonian Brass"", ""Island Reggae"", ""Reggae Dubplate""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,mp3_64k,fixed_fusion_a0.00,0.0,5,Timba Cuban,"[""Timba Cuban"", ""Macedonian Brass"", ""Nepali Folk"", ""German Schlager"", ""Native American Flute""]",243.63146192951413,0.3508771929824561,0.0,0.12947398211506048,0.4444444444444444,113.0,0.02654867256637168,0.5,0.5296347172140421
Mexican Mariachi,mp3_64k,fixed_fusion_a0.30,0.3,5,Nepali Folk,"[""Nepali Folk"", ""Macedonian Brass"", ""Island Reggae"", ""Reggae Dubplate"", ""Mariachi Brass""]",1.0091914128114208,0.9487179487179487,0.9130434782608695,0.9998806646563629,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,mp3_64k,fixed_fusion_a0.50,0.5,5,Mariachi Brass,"[""Mariachi Brass"", ""Nepali Folk"", ""Macedonian Brass"", ""Island Reggae"", ""Reggae Dubplate""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,mp3_64k,fixed_fusion_a0.70,0.7,5,Mariachi Brass,"[""Mariachi Brass"", ""Nepali Folk"", ""Macedonian Brass"", ""Island Reggae"", ""Reggae Dubplate""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,mp3_64k,fixed_fusion_a1.00,1.0,5,Mariachi Brass,"[""Mariachi Brass"", ""Psychedelic Folk"", ""Flamenco Guitar"", ""Traditional Irish"", ""Spanish Guitar""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,mp3_64k,adaptive_fusion,0.55,5,Mariachi Brass,"[""Mariachi Brass"", ""Nepali Folk"", ""Macedonian Brass"", ""Island Reggae"", ""Reggae Dubplate""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,mp3_32k,fixed_fusion_a0.00,0.0,5,Timba Cuban,"[""Timba Cuban"", ""Nepali Folk"", ""Native American Flute"", ""Macedonian Brass"", ""Blue-Eyed Soul""]",243.63146192951413,0.3508771929824561,0.0,0.12947398211506048,0.4444444444444444,113.0,0.017699115044247787,0.5,0.36005461457723403
