query_song,condition,method,alpha,top_k,top1_song,topk_songs,l2,acc@0.1,recall,cosine,module,relevant_total,recall@k,mrr,ndcg@k
Mexican Mariachi,awgn_20db,fixed_fusion_a0.00,0.0,5,Kraftwerk Style,"[""Kraftwerk Style"", ""Smooth Operator"", ""Cosmic Jazz"", ""Southern Gothic"", ""Enka Ballad""]",243.92884168418038,0.3508771929824561,0.0,0.13154384890455795,0.4444444444444444,113.0,0.0,0.0,0.0
Mexican Mariachi,awgn_20db,fixed_fusion_a0.30,0.3,5,Roots Reggae,"[""Roots Reggae"", ""Pastoral Folk"", ""Mariachi Brass"", ""Medieval Folk"", ""Psychedelic Folk""]",0.19474151177973428,0.9487179487179487,0.9130434782608695,0.9999906201565655,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_20db,fixed_fusion_a0.50,0.5,5,Mariachi Brass,"[""Mariachi Brass"", ""Roots Reggae"", ""Pastoral Folk"", ""Psychedelic Folk"", ""Medieval Folk""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_20db,fixed_fusion_a0.70,0.7,5,Mariachi Brass,"[""Mariachi Brass"", ""Psychedelic Folk"", ""Pastoral Folk"", ""Medieval Folk"", ""Roots Reggae""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_20db,fixed_fusion_a1.00,1.0,5,Mariachi Brass,"[""Mariachi Brass"", ""Psychedelic Folk"", ""Flamenco Guitar"", ""Traditional Irish"", ""Spanish Guitar""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_20db,adaptive_fusion,0.55,5,Mariachi Brass,"[""Mariachi Brass"", ""Roots Reggae"", ""Pastoral Folk"", ""Psychedelic Folk"", ""Medieval Folk""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_10db,fixed_fusion_a0.00,0.0,5,Kraftwerk Style,"[""Kraftwerk Style"", ""Cosmic Jazz"", ""Southern Gothic"", ""Smooth Operator"", ""Emo Piano""]",243.92884168418038,0.3508771929824561,0.0,0.13154384890455795,0.4444444444444444,113.0,0.0,0.0,0.0
Mexican Mariachi,awgn_10db,fixed_fusion_a0.30,0.3,5,Roots Reggae,"[""Roots Reggae"", ""Pastoral Folk"", ""Kraftwerk Style"", ""Nepali Folk"", ""Mariachi Brass""]",0.19474151177973428,0.9487179487179487,0.9130434782608695,0.9999906201565655,1.0,113.0,0.035398230088495575,1.0,0.830419897363192
Mexican Mariachi,awgn_10db,fixed_fusion_a0.50,0.5,5,Mariachi Brass,"[""Mariachi Brass"", ""Pastoral Folk"", ""Roots Reggae"", ""Nepali Folk"", ""Medieval Folk""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
Mexican Mariachi,awgn_10db,fixed_fusion_a0.70,0.7,5,Mariachi Brass,"[""Mariachi Brass"", ""Pastoral Folk"", ""Roots Reggae"", ""Psychedelic Folk"", ""Nepali Folk""]",0.16523945328848355,0.9230769230769231,0.8695652173913043,0.9999961888209394,1.0,113.0,0.04424778761061947,1.0,1.0
