query_song,retrieved_song,l2,norm_l2,acc@0.1,recall,cosine,module
Mexican Mariachi,Korean Trot,0.3097099139020715,0.005585825054387405,0.9487179487179487,0.9130434782608695,0.9999894225825692,1.0
Mathcore Dissonant Doom,Deathcore Breakdown Doom,0.0,0.0,1.0,1.0,1.0,1.0
Doom/Stoner Fuzz - Wall of Gain Edit,Doom/Stoner Fuzz - Heavy Riff Pass,0.0,0.0,1.0,1.0,1.0,1.0
Soul Clap Groove,Americana Alt Twang,0.0,0.0,1.0,1.0,1.0,1.0
Shoegaze Wall Echo,Microtonal Fusion Echo,0.0,0.0,1.0,1.0,1.0,1.0
Dubstep Wobble Neon,Deep House Neon,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
Modular Hybrid Void,Overtone Drone Void,0.0,0.0,1.0,1.0,1.0,1.0
Future Bass Pluck Digital,UK Garage Digital,0.0,0.0,1.0,1.0,1.0,1.0
Chamber Pop Radio,Memphis Soul Gospel,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Bossa Nova Acoustic Heritage,Memphis Soul Philly,0.0,0.0,1.0,1.0,1.0,1.0
Spectral Freeze Drift,Dark Ambient Drone Drift,0.0,0.0,1.0,1.0,1.0,1.0
Ethereal Female Vocals,Oceanic Ambient,6.815586136541404,0.01380845101883389,0.9230769230769231,0.90625,0.9999773886539846,1.0
Industrial Metal Aggressive,Industrial Metal - Heavy Riff Pass,0.10298095417637633,0.031050251578536095,0.8974358974358975,0.8235294117647058,0.9999174853348609,1.0
Spanky Funk,Auto-Wah Funk Rhythm,8.213786300778773,0.47734011690557215,0.4262295081967213,0.08695652173913043,0.009480290552311936,0.25
Drum and Bass Synth,Dubstep Wobble Synth,0.0,0.0,1.0,1.0,1.0,1.0
UK Garage Cyber,Techno Industrial Cyber,0.0,0.0,1.0,1.0,1.0,1.0
IDM Complex,Underground Hip Hop,6.28827501315151,0.02067564395335429,0.8461538461538461,0.8181818181818182,0.9999622967672595,1.0
Neo-Soul Rhythm Philly,Memphis Soul Philly,0.0,0.0,1.0,1.0,1.0,1.0
Western Swing Twang,Americana Alt Twang,0.0,0.0,1.0,1.0,1.0,1.0
K-Pop Shimmer Moonrise,Country Rock Twang Sunrise,0.0,0.0,1.0,1.0,1.0,1.0
Hip Hop Scratch,Magical Realism,1.862037276885943,0.019179905582592152,0.8974358974358975,0.8823529411764706,0.9999993472912625,1.0
Cool Jazz Crescendo,Memphis Soul Gospel,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
