method,threshold,norm_l2,coverage,n_queries
TRR,0.02,0.21305074258019227,1.0,204
Wav2Vec,0.02,0.23709518707018737,1.0,204
FeatureNN,0.02,0.2599001902778322,1.0,204
CLAP,0.02,0.23315618794591006,0.8480392156862745,173
PaSST,0.02,nan,0.0,0
PANNs,0.02,nan,0.0,0
TRR,0.05,0.20131183101340994,1.0,204
Wav2Vec,0.05,0.23051261100296502,1.0,204
FeatureNN,0.05,0.26528050065811715,1.0,204
CLAP,0.05,0.22834296444207908,0.8480392156862745,173
PaSST,0.05,nan,0.0,0
PANNs,0.05,nan,0.0,0
TRR,0.1,0.2233262493323143,1.0,204
Wav2Vec,0.1,0.2288047975285916,1.0,204
FeatureNN,0.1,0.2771617083689703,1.0,204
CLAP,0.1,0.21164051850876645,0.8480392156862745,173
PaSST,0.1,nan,0.0,0
PANNs,0.1,nan,0.0,0
