method,n,l2_mean,norm_l2_mean,acc_mean,recall_mean,cosine_mean,module_mean,threshold,pairs,removed,kb_size
TRR,204,37.98476460412509,0.1879156724996715,0.6604677292785187,0.5311143211875216,0.8149319336755892,0.8211815281668222,0.0,0,0,1063
Wav2Vec,204,74.21975143863068,0.2581636293407939,0.6012269000978409,0.4570047868665666,0.5894949757351285,0.7400968720821662,0.0,0,0,1063
FeatureNN,204,60.37658578862649,0.23271520279246105,0.6319851891368332,0.48608360903287184,0.6688130338387017,0.7581874416433241,0.0,0,0,1063
CLAP,166,69.19136839408623,0.2721724239678401,0.5653655404360959,0.3940829808071666,0.6275580530261622,0.7270917001338687,0.0,0,0,1063
TRR,204,36.97895286306139,0.20260115765774597,0.6460978951221967,0.5103177971564243,0.8169346178742011,0.7865954715219421,0.005,594,594,469
Wav2Vec,204,98.74808832838504,0.28633092636276153,0.5615631641895319,0.4254179515724354,0.5059799798801905,0.7125213974478681,0.005,594,594,469
FeatureNN,204,86.67525753797656,0.2676177576097499,0.5838184604061093,0.445769114614145,0.5414129409758868,0.7126536725801432,0.005,594,594,469
CLAP,166,109.53627029209456,0.3270103550881958,0.5035716876496843,0.33844369280359404,0.4434790141283557,0.6618856377892522,0.005,594,594,469
TRR,204,35.40425152674578,0.19928309620376006,0.6415376652620444,0.5141661697627892,0.8441774173675015,0.8039701991907876,0.01,654,654,409
Wav2Vec,204,103.69160140821543,0.2894486118211259,0.5562219509111275,0.43302927080666725,0.5113327924022723,0.7263013538748831,0.01,654,654,409
FeatureNN,204,96.90603785586156,0.27920229933203344,0.569762223588156,0.4420678016975846,0.5180295912742129,0.706390056022409,0.01,654,654,409
CLAP,166,123.18588851648852,0.3401259003265168,0.4854164310348106,0.33851749719171453,0.4093565036177847,0.6632577930770701,0.01,654,654,409
TRR,204,47.746304791347214,0.22648329677487583,0.6203475068294434,0.4753293438349824,0.7757602239364755,0.7612142079053845,0.02,903,903,160
Wav2Vec,204,100.79273032487015,0.30932813156049743,0.5352285246928464,0.3915761710078225,0.527670271538014,0.6986247276688453,0.02,903,903,160
FeatureNN,204,102.89129109274309,0.3235415680141922,0.5261188609101981,0.3585527883381238,0.5081743570201767,0.6712535014005601,0.02,903,903,160
CLAP,166,125.3817800168528,0.35236313813901393,0.4886746182670837,0.314173247986397,0.44139695001250223,0.6546615031554791,0.02,903,903,160
TRR,204,51.47636034048286,0.24931990672699103,0.6023233657193989,0.44046282342134796,0.7024166713734158,0.7136321195144726,0.05,980,980,83
Wav2Vec,204,71.82812773185249,0.29678984409524917,0.5425261134588805,0.3663162655208879,0.571113558312865,0.6718662464985993,0.05,980,980,83
FeatureNN,204,60.343288042525174,0.305937609902282,0.5470067666587555,0.3493708638841782,0.572207914427374,0.6472319483348895,0.05,980,980,83
CLAP,166,70.09349233954356,0.3043032717002376,0.5346451589922483,0.3431169464835651,0.6039406294323265,0.6840480971505067,0.05,980,980,83
