variant,family,layers,project_dim,embedding_dim,l2_normalize,similarity,n,l2_mean,norm_l2_mean,acc_mean,recall_mean,cosine_mean,module_mean,top3_oracle_norm_l2_mean,top5_oracle_norm_l2_mean
mean_pool_l5,mean_pool,5,0,768,True,cosine,204,72.98026374016257,0.25815471761171555,0.6088786819460917,0.46228759354481797,0.5894852874467466,0.7426159352629941,0.16744180101896,0.13001667366776434
gram_no_projection_l5,gram_full,5,768,589824,True,cosine,204,69.56941484813841,0.25013002692030867,0.6103270022759353,0.46345294444695495,0.6091617540162438,0.7568043884220353,0.16740150637407478,0.12108966371859191
gram_l4_d64,gram_projected,4,64,4096,True,cosine,204,71.3019502744293,0.2527806397599191,0.6016670088682101,0.45847928290664053,0.6191300494220188,0.7603096794273265,0.15296455393805047,0.10812369232689956
gram_l5_d64,gram_projected,5,64,4096,True,cosine,204,69.87196737185664,0.2457349643112767,0.610405344576536,0.46540237830735426,0.6224350277101895,0.764552209772798,0.15575314865289366,0.1362864223935244
gram_l6_d64,gram_projected,6,64,4096,True,cosine,204,66.22801314905561,0.2529158127568269,0.5984908967154268,0.44847528469265724,0.6316845653641946,0.7537484438219733,0.158169192291482,0.12544934706751681
gram_l456_d16,gram_projected,4+5+6,16,256,True,cosine,204,66.71420377758832,0.2501392518554864,0.6051553003397503,0.44493719428744943,0.6070398272066997,0.7318802521008403,0.16794176251468412,0.1430841363626307
gram_l456_d32,gram_projected,4+5+6,32,1024,True,cosine,204,70.20877496251815,0.24801598337603184,0.6022489019609929,0.4640167574541321,0.6398428253618439,0.7587223778400249,0.15738910027349695,0.1234729797516176
gram_l456_d64,gram_projected,4+5+6,64,4096,True,cosine,204,68.8467519095027,0.2545562448192407,0.596294381145303,0.44874712826374913,0.6249350089040911,0.7650365701836289,0.15520705702139295,0.13103146822272568
gram_l456_d128,gram_projected,4+5+6,128,16384,True,cosine,204,72.26932190182656,0.25759780448782127,0.6053861089338506,0.45381345116579686,0.6121060091529785,0.7473117024587612,0.16932236166217193,0.1303784017449154
gram_l456_d64_no_l2,gram_projected,4+5+6,64,4096,False,dot,204,73.8982161133428,0.2848989387002098,0.5645393051207506,0.3944376132232026,0.5856820825016059,0.6942226890756302,0.1667965635153221,0.1364094630505277
