method,source_method,query_idx,query_name,k,effective_k,temperature,status,skip_reason,norm_l2,acc_at_0_1,recall,cosine,module,edit_cost,provenance_max_weight,provenance_entropy_norm,provenance_effective_exemplars,topk_names,topk_scores,weights,metric_impl
EPR-K3,TRR,934,Memphis Soul Memphis,3,3,0.05,ok,,0.04333443236059324,0.9487179487179487,0.9166666666666666,0.9942255442721989,1.0,0.83270771,0.3448545639,0.9997107647,2.9980867713,"[""Dream Pop Sparkle"", ""Future Bass Pluck Digital"", ""Country Rock Twang Rambler""]","[0.8836692390810007, 0.8814951821327658, 0.8806988549637642]","[0.3448545639401617, 0.33018121344394996, 0.3249642226158884]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,934,Memphis Soul Memphis,5,5,0.05,ok,,0.03693929911502663,0.9487179487179487,0.9166666666666666,0.9954172444752056,1.0,0.6767320425,0.2163164786,0.998664487,4.978888916,"[""Dream Pop Sparkle"", ""Future Bass Pluck Digital"", ""Country Rock Twang Rambler"", ""Contemporary Jazz Velvet"", ""Power Pop Glimmer""]","[0.8836692390810007, 0.8814951821327658, 0.8806988549637642, 0.8784489481859763, 0.8738820906862028]","[0.2163164786166998, 0.20711234493036157, 0.20383988980606835, 0.1948707846771116, 0.17786050196975872]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,853,Acid Jazz Funk Crescendo,3,3,0.05,ok,,0.05276518348967802,0.9487179487179487,0.9166666666666666,0.9909695469189219,1.0,1.0032751867,0.5207812317,0.9307112809,2.5841321739,"[""Western Swing Twang"", ""Dream Pop Sparkle"", ""K-Pop Shimmer Voyage""]","[0.8798100102276107, 0.8453219762664911, 0.8362556087720676]","[0.5207812317042448, 0.26127392383865333, 0.2179448444571019]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,853,Acid Jazz Funk Crescendo,5,5,0.05,ok,,0.05373382572423308,0.9230769230769231,0.875,0.9906124548191558,1.0,1.0704724608,0.3667442716,0.9520375063,4.2430772236,"[""Western Swing Twang"", ""Dream Pop Sparkle"", ""K-Pop Shimmer Voyage"", ""Indie Pop Jangle Shimmer"", ""Contemporary Jazz Velvet""]","[0.8798100102276107, 0.8453219762664911, 0.8362556087720676, 0.8355413523211047, 0.8332326011177158]","[0.3667442715562063, 0.1839941784408542, 0.15348099807337784, 0.15130408795397643, 0.1444764639755853]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,379,Hollow Body Jazz,3,3,0.05,ok,,0.06097064970019561,0.9047619047619048,0.9,0.9830418227471692,0.75,2.0494752356,0.3648232962,0.9961236382,2.9750575286,"[""Nepali Folk"", ""Pastoral Folk"", ""Mariachi Brass""]","[0.7730331361322513, 0.7699714312999677, 0.7619040758982212]","[0.36482329622336773, 0.34315389491951875, 0.2920228088571134]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,379,Hollow Body Jazz,5,5,0.05,ok,,0.0770761493140457,0.9047619047619048,0.9,0.974167122828043,0.75,2.5045363448,0.2576026795,0.982951386,4.7440991815,"[""Nepali Folk"", ""Pastoral Folk"", ""Mariachi Brass"", ""Native American Flute"", ""Peruvian Cumbia""]","[0.7730331361322513, 0.7699714312999677, 0.7619040758982212, 0.745838159743398, 0.7440791565267072]","[0.25760267947496396, 0.24230185878649546, 0.20619806577083186, 0.1495332637509377, 0.14436413221677083]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,996,Americana Alt Honky,3,3,0.05,ok,,0.08811438209261424,0.8409090909090909,0.875,0.9737353253191242,0.8333333333333334,3.0634577668,0.5291054597,0.9139329447,2.5172753913,"[""Synthwave Guitar Neon"", ""Country Rock Twang Rambler"", ""Power Metal Epic Chaos""]","[0.929003289734416, 0.899308088993946, 0.874740444125878]","[0.5291054596857797, 0.29215478687707114, 0.17873975343714915]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,996,Americana Alt Honky,5,5,0.05,ok,,0.05139292554963392,0.9230769230769231,0.875,0.9912791796847553,1.0,0.9943169485,0.4052840258,0.9165862526,3.8386457739,"[""Synthwave Guitar Neon"", ""Country Rock Twang Rambler"", ""Power Metal Epic Chaos"", ""Folk Metal Acoustic Wrath"", ""Western Swing Honky""]","[0.929003289734416, 0.899308088993946, 0.874740444125878, 0.8689050403779481, 0.8647839135837017]","[0.4052840257645667, 0.22378462743938812, 0.13691101747503054, 0.12182957383944422, 0.1121907554815705]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,962,Bluegrass Flatpick Sunrise,3,3,0.05,ok,,0.10713649189600537,0.7435897435897436,0.625,0.9633300509540449,1.0,2.1671278035,0.3390441809,0.9998284421,2.9988742935,"[""Reverse Ambient Prism"", ""Philadelphia Soul Gospel"", ""Latin Jazz Crescendo""]","[0.8037594121481814, 0.8034051741350061, 0.8015371426283113]","[0.33904418088575516, 0.33665062304897875, 0.32430519606526603]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,962,Bluegrass Flatpick Sunrise,5,5,0.05,ok,,0.074877637840381,0.8461538461538461,0.7916666666666666,0.9816324384187743,1.0,1.4322231611,0.2295498159,0.9920152192,4.8777398448,"[""Reverse Ambient Prism"", ""Philadelphia Soul Gospel"", ""Latin Jazz Crescendo"", ""Japanese Enka Voyage"", ""Acid Jazz Funk Vibe""]","[0.8037594121481814, 0.8034051741350061, 0.8015371426283113, 0.7868012545824419, 0.785532591483747]","[0.2295498158643082, 0.22792925786134477, 0.2195707882262843, 0.163523533738965, 0.15942660430909766]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,122,Futurebass Vocal Chop,3,3,0.05,ok,,0.06597535178143528,0.9230769230769231,0.9117647058823529,0.990389559471649,1.0,1.3808921414,0.4272114305,0.9705431704,2.8240144763,"[""Hip Hop Scratch"", ""Classic House"", ""Cumbia Electronica""]","[0.6433349060804094, 0.633059079778913, 0.6112630039618452]","[0.4272114305208319, 0.3478469270112238, 0.22494164246794443]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,122,Futurebass Vocal Chop,5,5,0.05,ok,,0.05999838797851117,0.9230769230769231,0.9117647058823529,0.9921185632894539,1.0,1.284286563,0.3372590037,0.9308321951,4.1026375268,"[""Hip Hop Scratch"", ""Classic House"", ""Cumbia Electronica"", ""Hip House"", ""Cuban Son""]","[0.6433349060804094, 0.633059079778913, 0.6112630039618452, 0.5942668612130708, 0.5739237335468349]","[0.3372590036832454, 0.27460526488034454, 0.17757856837567096, 0.1264049060619196, 0.08415225699881965]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,991,Western Swing Outlaw,3,3,0.05,ok,,0.0352476037133457,0.9487179487179487,0.9166666666666666,0.9964712555324932,1.0,0.6378291791,0.367690148,0.9976133792,2.9841018632,"[""Country Telecaster Honky"", ""Memphis Soul Gospel"", ""K-Pop Shimmer Voyage""]","[0.8358249974938252, 0.8285310026981481, 0.8280168476240727]","[0.3676901480392131, 0.3177804382505187, 0.31452941371026816]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,991,Western Swing Outlaw,5,5,0.05,ok,,0.06046022244511686,0.8717948717948718,0.7916666666666666,0.9885433103063721,1.0,1.2406570883,0.2405086243,0.9922973677,4.8842216489,"[""Country Telecaster Honky"", ""Memphis Soul Gospel"", ""K-Pop Shimmer Voyage"", ""Bluegrass Flatpick Twang"", ""Shoegaze Wall Glitch""]","[0.8358249974938252, 0.8285310026981481, 0.8280168476240727, 0.8267799470838935, 0.8105874458496372]","[0.24050862427199696, 0.20786234396477116, 0.20573582672241422, 0.20070876770292134, 0.14518443733789627]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,850,Acid Jazz Funk Smoky,3,3,0.05,ok,,0.05470982168558866,0.8974358974358975,0.8333333333333334,0.9901217591045407,1.0,1.0586760982,0.4514402149,0.9724325744,2.8213668452,"[""Chicago Soul Philly"", ""Synth Pop Sparkle"", ""Hyperpop Glitch Digital""]","[0.8228196797995219, 0.7996095513944448, 0.7961402542635301]","[0.45144021488377234, 0.2837916611787493, 0.26476812393747834]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,850,Acid Jazz Funk Smoky,5,5,0.05,ok,,0.05441455380760038,0.8974358974358975,0.8333333333333334,0.9901867067903,1.0,0.9724456645,0.315007382,0.9734869875,4.5763000797,"[""Chicago Soul Philly"", ""Synth Pop Sparkle"", ""Hyperpop Glitch Digital"", ""Country Rock Twang Frontier"", ""Latin Jazz Nocturne""]","[0.8228196797995219, 0.7996095513944448, 0.7961402542635301, 0.7898149521585928, 0.7820645111616369]","[0.3150073820155908, 0.19802504357922432, 0.18475073955074578, 0.16279659216510683, 0.13942024268933226]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,620,Dubstep Wobble Digital,3,3,0.05,ok,,0.2497324538286626,0.5957446808510638,0.5,0.8347797400818172,0.7142857142857143,7.8755495414,0.5895963327,0.8750925688,2.3154823271,"[""Glitch Noise Void"", ""Modular Hybrid Prism"", ""Southern Soul Gospel Philly""]","[0.4630220534324603, 0.4112736644053482, 0.4092046323551129]","[0.5895963326830738, 0.20944691962309966, 0.2009567476938266]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,620,Dubstep Wobble Digital,5,5,0.05,ok,,0.21315785420247058,0.6170212765957447,0.5,0.8712225334472076,0.7142857142857143,6.8166430999,0.4215328734,0.9211805091,3.8258126307,"[""Glitch Noise Void"", ""Modular Hybrid Prism"", ""Southern Soul Gospel Philly"", ""Dubstep Wobble Bass"", ""Future Bass Pluck Pulse""]","[0.4630220534324603, 0.4112736644053482, 0.4092046323551129, 0.4089633991756738, 0.4086415751622308]","[0.4215328734440844, 0.14974442168078295, 0.143674359214325, 0.14298284826002308, 0.1420654974007846]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,987,Western Swing Dusty,3,3,0.05,ok,,0.06548854249804477,0.8974358974358975,0.8333333333333334,0.98739025159964,1.0,1.263558649,0.385808465,0.9893705335,2.9333333092,"[""Synth Pop Charm"", ""K-Pop Shimmer Voyage"", ""Memphis Soul Gospel""]","[0.7515517520221687, 0.7464810417649567, 0.7328825654456808]","[0.3858084649919965, 0.3486005938058984, 0.2655909412021052]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,987,Western Swing Dusty,5,5,0.05,ok,,0.05794531938077443,0.8974358974358975,0.8333333333333334,0.9897262909950206,1.0,1.1182089554,0.2707467673,0.9809816155,4.708792943,"[""Synth Pop Charm"", ""K-Pop Shimmer Voyage"", ""Memphis Soul Gospel"", ""Americana Alt Sunrise"", ""K-Pop Shimmer Mystic""]","[0.7515517520221687, 0.7464810417649567, 0.7328825654456808, 0.7223846201773506, 0.7210653413687]","[0.27074676726966324, 0.2446355961712502, 0.18638235101469036, 0.15108480610654035, 0.14715047943785592]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,650,UK Garage Neon,3,3,0.05,ok,,0.18104087751988976,0.6818181818181818,0.5,0.916709353452656,0.8333333333333334,5.4459768163,0.4485481955,0.974000754,2.8307579084,"[""Contemporary Jazz Velvet"", ""Memphis Soul Motown"", ""Dream Pop Sparkle""]","[0.9130716468789606, 0.8892709894442723, 0.8882057436234887]","[0.4485481954941583, 0.27866294981063594, 0.27278885469520575]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,650,UK Garage Neon,5,5,0.05,ok,,0.16043119674342868,0.7045454545454546,0.5357142857142857,0.9349496942467412,0.8333333333333334,4.7576727006,0.3168648453,0.9717582193,4.5537334808,"[""Contemporary Jazz Velvet"", ""Memphis Soul Motown"", ""Dream Pop Sparkle"", ""Hyperpop Glitch Synth"", ""Hyperpop Glitch Wave""]","[0.9130716468789606, 0.8892709894442723, 0.8882057436234887, 0.8780220097179448, 0.8709210595730908]","[0.3168648453419471, 0.19685396882937162, 0.1927043718429784, 0.15719429442868094, 0.13638251955702207]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,1074,Acoustic Sim Natural,3,3,0.05,ok,,0.07371519873099056,0.9230769230769231,0.8571428571428571,0.9813604789154974,1.0,0.8605291667,0.3333333333,1.0,3.0,"[""Acoustic Sim"", ""Acoustic Sim - Warm Room Take"", ""Acoustic Sim - Open Chord Mix""]","[1.0000000000000002, 1.0000000000000002, 1.0000000000000002]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",epr_rcpp_softmax_topk_observed_kb_range
