method,query_idx,query_name,status,skip_reason,module_weight,original_top1_name,reranked_top1_name,changed,original_norm_l2,reranked_norm_l2,original_acc_at_0_1,reranked_acc_at_0_1,original_recall,reranked_recall,original_cosine,reranked_cosine,original_module,reranked_module,module_consensus_score,rerank_score,original_similarity,reranked_similarity,topk_names,topk_scores,metric_impl
TRR,934,Memphis Soul Memphis,ok,,0.15,Dream Pop Sparkle,Dream Pop Sparkle,False,0.054119064039426644,0.054119064039426644,0.9230769230769231,0.9230769230769231,0.875,0.875,0.989696153625742,0.989696153625742,1.0,1.0,1.0,1.0336692391,0.8836692390810007,0.8836692390810007,"[""Dream Pop Sparkle"", ""Future Bass Pluck Digital"", ""Country Rock Twang Rambler"", ""Contemporary Jazz Velvet"", ""Power Pop Glimmer""]","[0.8836692390810007, 0.8814951821327658, 0.8806988549637642, 0.8784489481859763, 0.8738820906862028]",oracle_free_active_module_consensus
TRR,853,Acid Jazz Funk Crescendo,ok,,0.15,Western Swing Twang,Western Swing Twang,False,0.051081675388942656,0.051081675388942656,0.9230769230769231,0.9230769230769231,0.875,0.875,0.9920329454598996,0.9920329454598996,1.0,1.0,1.0,1.0298100102,0.8798100102276107,0.8798100102276107,"[""Western Swing Twang"", ""Dream Pop Sparkle"", ""K-Pop Shimmer Voyage"", ""Indie Pop Jangle Shimmer"", ""Contemporary Jazz Velvet""]","[0.8798100102276107, 0.8453219762664911, 0.8362556087720676, 0.8355413523211047, 0.8332326011177158]",oracle_free_active_module_consensus
TRR,379,Hollow Body Jazz,ok,,0.15,Nepali Folk,Nepali Folk,False,0.059533110425242494,0.059533110425242494,0.9047619047619048,0.9047619047619048,0.9,0.9,0.9838225747896768,0.9838225747896768,0.75,0.75,1.0,0.9230331361,0.7730331361322513,0.7730331361322513,"[""Nepali Folk"", ""Pastoral Folk"", ""Mariachi Brass"", ""Native American Flute"", ""Peruvian Cumbia""]","[0.7730331361322513, 0.7699714312999677, 0.7619040758982212, 0.745838159743398, 0.7440791565267072]",oracle_free_active_module_consensus
TRR,996,Americana Alt Honky,ok,,0.15,Synthwave Guitar Neon,Synthwave Guitar Neon,False,0.1767598456863114,0.1767598456863114,0.6818181818181818,0.6818181818181818,0.625,0.625,0.9227178330161183,0.9227178330161183,0.8333333333333334,0.8333333333333334,0.6717307298,1.0297628992,0.929003289734416,0.929003289734416,"[""Synthwave Guitar Neon"", ""Country Rock Twang Rambler"", ""Power Metal Epic Chaos"", ""Folk Metal Acoustic Wrath"", ""Western Swing Honky""]","[0.929003289734416, 0.899308088993946, 0.874740444125878, 0.8689050403779481, 0.8647839135837017]",oracle_free_active_module_consensus
TRR,962,Bluegrass Flatpick Sunrise,ok,,0.15,Reverse Ambient Prism,Philadelphia Soul Gospel,True,0.33656090467080574,0.05835809819630033,0.5961538461538461,0.9487179487179487,0.5,0.9166666666666666,0.6951404400365101,0.9889142520194555,0.5714285714285714,1.0,0.9596205863,0.9473482621,0.8037594121481814,0.8034051741350061,"[""Reverse Ambient Prism"", ""Philadelphia Soul Gospel"", ""Latin Jazz Crescendo"", ""Japanese Enka Voyage"", ""Acid Jazz Funk Vibe""]","[0.8037594121481814, 0.8034051741350061, 0.8015371426283113, 0.7868012545824419, 0.785532591483747]",oracle_free_active_module_consensus
TRR,122,Futurebass Vocal Chop,ok,,0.15,Hip Hop Scratch,Hip Hop Scratch,False,0.0993194806312978,0.0993194806312978,0.7948717948717948,0.7948717948717948,0.7647058823529411,0.7647058823529411,0.9819737445056235,0.9819737445056235,1.0,1.0,1.0,0.7933349061,0.6433349060804094,0.6433349060804094,"[""Hip Hop Scratch"", ""Classic House"", ""Cumbia Electronica"", ""Hip House"", ""Cuban Son""]","[0.6433349060804094, 0.633059079778913, 0.6112630039618452, 0.5942668612130708, 0.5739237335468349]",oracle_free_active_module_consensus
TRR,991,Western Swing Outlaw,ok,,0.15,Country Telecaster Honky,Country Telecaster Honky,False,0.058785273272340094,0.058785273272340094,0.8717948717948718,0.8717948717948718,0.7916666666666666,0.7916666666666666,0.9903490927170565,0.9903490927170565,1.0,1.0,0.9607439016,0.9799365827,0.8358249974938252,0.8358249974938252,"[""Country Telecaster Honky"", ""Memphis Soul Gospel"", ""K-Pop Shimmer Voyage"", ""Bluegrass Flatpick Twang"", ""Shoegaze Wall Glitch""]","[0.8358249974938252, 0.8285310026981481, 0.8280168476240727, 0.8267799470838935, 0.8105874458496372]",oracle_free_active_module_consensus
TRR,850,Acid Jazz Funk Smoky,ok,,0.15,Chicago Soul Philly,Chicago Soul Philly,False,0.06772405188210294,0.06772405188210294,0.9487179487179487,0.9487179487179487,0.9166666666666666,0.9166666666666666,0.9847616456795555,0.9847616456795555,1.0,1.0,1.0,0.9728196798,0.8228196797995219,0.8228196797995219,"[""Chicago Soul Philly"", ""Synth Pop Sparkle"", ""Hyperpop Glitch Digital"", ""Country Rock Twang Frontier"", ""Latin Jazz Nocturne""]","[0.8228196797995219, 0.7996095513944448, 0.7961402542635301, 0.7898149521585928, 0.7820645111616369]",oracle_free_active_module_consensus
TRR,620,Dubstep Wobble Digital,ok,,0.15,Glitch Noise Void,Glitch Noise Void,False,0.31157749149432373,0.31157749149432373,0.574468085106383,0.574468085106383,0.4642857142857143,0.4642857142857143,0.790632808081055,0.790632808081055,0.7142857142857143,0.7142857142857143,0.870225906,0.5935559393,0.4630220534324603,0.4630220534324603,"[""Glitch Noise Void"", ""Modular Hybrid Prism"", ""Southern Soul Gospel Philly"", ""Dubstep Wobble Bass"", ""Future Bass Pluck Pulse""]","[0.4630220534324603, 0.4112736644053482, 0.4092046323551129, 0.4089633991756738, 0.4086415751622308]",oracle_free_active_module_consensus
TRR,987,Western Swing Dusty,ok,,0.15,Synth Pop Charm,Synth Pop Charm,False,0.06633057543108781,0.06633057543108781,0.8717948717948718,0.8717948717948718,0.7916666666666666,0.7916666666666666,0.987557392720779,0.987557392720779,1.0,1.0,1.0,0.901551752,0.7515517520221687,0.7515517520221687,"[""Synth Pop Charm"", ""K-Pop Shimmer Voyage"", ""Memphis Soul Gospel"", ""Americana Alt Sunrise"", ""K-Pop Shimmer Mystic""]","[0.7515517520221687, 0.7464810417649567, 0.7328825654456808, 0.7223846201773506, 0.7210653413687]",oracle_free_active_module_consensus
