method,query_idx,query_name,status,coverage,skip_reason,candidate_count,metric_impl,top1_name,top1_norm_l2,top1_acc_at_0_1,top1_recall,top1_cosine,top1_module,pnr_at_1,pnr_at_3,pnr_at_5,topk_names,topk_scores,pnr_at_k
TRR,934,Memphis Soul Memphis,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Dream Pop Sparkle,0.054119064039426644,0.9230769230769231,0.875,0.989696153625742,1.0,1,1,1,"[""Dream Pop Sparkle"", ""Future Bass Pluck Digital"", ""Country Rock Twang Rambler"", ""Contemporary Jazz Velvet"", ""Power Pop Glimmer""]","[0.8836692390810007, 0.8814951821327658, 0.8806988549637642, 0.8784489481859763, 0.8738820906862028]",1
TRR,853,Acid Jazz Funk Crescendo,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Western Swing Twang,0.051081675388942656,0.9230769230769231,0.875,0.9920329454598996,1.0,1,1,1,"[""Western Swing Twang"", ""Dream Pop Sparkle"", ""K-Pop Shimmer Voyage"", ""Indie Pop Jangle Shimmer"", ""Contemporary Jazz Velvet""]","[0.8798100102276107, 0.8453219762664911, 0.8362556087720676, 0.8355413523211047, 0.8332326011177158]",1
TRR,379,Hollow Body Jazz,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Nepali Folk,0.05953311042524249,0.9047619047619048,0.9,0.9838225747896768,0.75,1,1,1,"[""Nepali Folk"", ""Pastoral Folk"", ""Mariachi Brass"", ""Native American Flute"", ""Peruvian Cumbia""]","[0.7730331361322513, 0.7699714312999677, 0.7619040758982212, 0.745838159743398, 0.7440791565267072]",1
TRR,996,Americana Alt Honky,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Synthwave Guitar Neon,0.17675984568631137,0.6818181818181818,0.625,0.9227178330161183,0.8333333333333334,0,1,1,"[""Synthwave Guitar Neon"", ""Country Rock Twang Rambler"", ""Power Metal Epic Chaos"", ""Folk Metal Acoustic Wrath"", ""Western Swing Honky""]","[0.929003289734416, 0.899308088993946, 0.874740444125878, 0.8689050403779481, 0.8647839135837017]",1
TRR,962,Bluegrass Flatpick Sunrise,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Reverse Ambient Prism,0.33656090467080574,0.5961538461538461,0.5,0.6951404400365101,0.5714285714285714,0,1,1,"[""Reverse Ambient Prism"", ""Philadelphia Soul Gospel"", ""Latin Jazz Crescendo"", ""Japanese Enka Voyage"", ""Acid Jazz Funk Vibe""]","[0.8037594121481814, 0.8034051741350061, 0.8015371426283113, 0.7868012545824419, 0.785532591483747]",1
TRR,122,Futurebass Vocal Chop,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Hip Hop Scratch,0.09931948063129777,0.7948717948717948,0.7647058823529411,0.9819737445056235,1.0,1,1,1,"[""Hip Hop Scratch"", ""Classic House"", ""Cumbia Electronica"", ""Hip House"", ""Cuban Son""]","[0.6433349060804094, 0.633059079778913, 0.6112630039618452, 0.5942668612130708, 0.5739237335468349]",1
TRR,991,Western Swing Outlaw,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Country Telecaster Honky,0.058785273272340094,0.8717948717948718,0.7916666666666666,0.9903490927170565,1.0,1,1,1,"[""Country Telecaster Honky"", ""Memphis Soul Gospel"", ""K-Pop Shimmer Voyage"", ""Bluegrass Flatpick Twang"", ""Shoegaze Wall Glitch""]","[0.8358249974938252, 0.8285310026981481, 0.8280168476240727, 0.8267799470838935, 0.8105874458496372]",1
TRR,850,Acid Jazz Funk Smoky,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Chicago Soul Philly,0.06772405188210294,0.9487179487179487,0.9166666666666666,0.9847616456795555,1.0,1,1,1,"[""Chicago Soul Philly"", ""Synth Pop Sparkle"", ""Hyperpop Glitch Digital"", ""Country Rock Twang Frontier"", ""Latin Jazz Nocturne""]","[0.8228196797995219, 0.7996095513944448, 0.7961402542635301, 0.7898149521585928, 0.7820645111616369]",1
TRR,620,Dubstep Wobble Digital,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Glitch Noise Void,0.31157749149432373,0.574468085106383,0.4642857142857143,0.790632808081055,0.7142857142857143,0,0,1,"[""Glitch Noise Void"", ""Modular Hybrid Prism"", ""Southern Soul Gospel Philly"", ""Dubstep Wobble Bass"", ""Future Bass Pluck Pulse""]","[0.4630220534324603, 0.4112736644053482, 0.4092046323551129, 0.4089633991756738, 0.4086415751622308]",1
TRR,987,Western Swing Dusty,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Synth Pop Charm,0.06633057543108781,0.8717948717948718,0.7916666666666666,0.987557392720779,1.0,1,1,1,"[""Synth Pop Charm"", ""K-Pop Shimmer Voyage"", ""Memphis Soul Gospel"", ""Americana Alt Sunrise"", ""K-Pop Shimmer Mystic""]","[0.7515517520221687, 0.7464810417649567, 0.7328825654456808, 0.7223846201773506, 0.7210653413687]",1
TRR,650,UK Garage Neon,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Contemporary Jazz Velvet,0.18748319222225215,0.6818181818181818,0.5,0.9108881044102174,0.8333333333333334,0,0,1,"[""Contemporary Jazz Velvet"", ""Memphis Soul Motown"", ""Dream Pop Sparkle"", ""Hyperpop Glitch Synth"", ""Hyperpop Glitch Wave""]","[0.9130716468789606, 0.8892709894442723, 0.8882057436234887, 0.8780220097179448, 0.8709210595730908]",1
TRR,1074,Acoustic Sim Natural,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Acoustic Sim,0.07371519873099056,0.9230769230769231,0.8571428571428571,0.9813604789154974,1.0,1,1,1,"[""Acoustic Sim"", ""Acoustic Sim - Warm Room Take"", ""Acoustic Sim - Open Chord Mix"", ""Acoustic Sim - Glass Tone Pass"", ""Acoustic Sim - Natural Body Edit""]","[1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]",1
TRR,27,Wah-Wah Rock,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Shimmer Reverb,0.21231110442548082,0.7222222222222222,0.5217391304347826,0.8078508869969147,0.3333333333333333,0,0,0,"[""Shimmer Reverb"", ""Lo-Fi Hip Hop"", ""Lo-Fi Hip Hop Chill"", ""Lo-Fi Hip Hop - Alt Take"", ""Lo-Fi Hip Hop - Studio Mix""]","[0.9937628898733539, 0.9628000659317111, 0.9628000659317111, 0.9628000659317111, 0.9628000659317111]",0
TRR,75,Breakbeat Hardcore,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Gabber Hardcore,0.004219205007311154,1.0,1.0,0.9999489494032038,1.0,1,1,1,"[""Gabber Hardcore"", ""VHS Glitch"", ""Film Noir Jazz"", ""Jazz Fusion Complex"", ""Zeuhl Avant""]","[0.8076250690002146, 0.7777944741729155, 0.7764958951145576, 0.75432318468841, 0.7418207497620061]",1
TRR,696,Granular Texture Prism,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Granular Texture Void,0.14164491279527097,0.8205128205128205,0.75,0.9672859583098545,1.0,0,1,1,"[""Granular Texture Void"", ""Dark Ambient Drone Static"", ""Microtonal Fusion Drift"", ""Prepared Guitar Prism"", ""Spectral Freeze Echo""]","[0.8846487295816045, 0.8253530936710978, 0.7961605828564056, 0.78031215832871, 0.7627620735866822]",1
TRR,616,Drum and Bass Wave,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Afrobeat Guitar Mystic,0.1704516639783805,0.7045454545454546,0.5357142857142857,0.9238784060262221,0.8333333333333334,0,0,0,"[""Afrobeat Guitar Mystic"", ""Afrobeat Guitar Heritage"", ""Latin Jazz Improv"", ""Synth Pop Hazy"", ""Country Rock Twang Pickin""]","[0.9093274452106097, 0.8574659527480217, 0.78152476064231, 0.7713191568579021, 0.7558822575698577]",0
