method,query_idx,query_name,status,top1_acc_at_0_1,top1_cosine,top1_legacy_module_jaccard,top1_module,top1_name,top1_norm_l2,top1_recall,top1_switch_accuracy,top1_switch_f1,top1_switch_precision,top1_switch_recall
Wav2Vec_RP4096,934,Memphis Soul Memphis,ok,0.8717948717948718,0.9912550362678914,1.0,1.0,Memphis Soul Motown,0.05552035665692328,0.7916666666666666,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,853,Acid Jazz Funk Crescendo,ok,0.8461538461538461,0.9764490244503082,1.0,1.0,Dream Pop Sparkle,0.08553201904538475,0.75,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,379,Hollow Body Jazz,ok,0.5833333333333334,0.7318116260028246,0.3333333333333333,0.3333333333333333,Old Time Radio,0.28950764393877015,0.5454545454545454,0.3333333333333333,0.5,0.3333333333333333,1.0
Wav2Vec_RP4096,996,Americana Alt Honky,ok,0.8717948717948718,0.9903490927170565,1.0,1.0,Free Jazz Avantgarde Groove,0.058785273272340094,0.7916666666666666,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,962,Bluegrass Flatpick Sunrise,ok,0.5471698113207547,0.737668054077856,0.5555555555555556,0.5555555555555556,Sierreño Accordion,0.3092157659799336,0.5384615384615384,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Wav2Vec_RP4096,122,Futurebass Vocal Chop,ok,0.7948717948717948,0.9819737445056235,1.0,1.0,Hip Hop Scratch,0.09931948063129777,0.7647058823529411,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,991,Western Swing Outlaw,ok,1.0,1.0,1.0,1.0,Britpop Charm,0.0,1.0,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,850,Acid Jazz Funk Smoky,ok,0.5283018867924528,0.7418259637357675,0.5555555555555556,0.5555555555555556,West Coast Hip Hop,0.3037305675272164,0.5,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Wav2Vec_RP4096,620,Dubstep Wobble Digital,ok,0.625,0.8505978530987033,0.6666666666666666,0.6666666666666666,Tibetan Singing Bowl,0.2175125749117201,0.42857142857142855,0.7777777777777778,0.8,1.0,0.6666666666666666
Wav2Vec_RP4096,987,Western Swing Dusty,ok,0.5849056603773585,0.7938195111549922,0.5555555555555556,0.5555555555555556,Desert Rock Fuzz,0.250280174386391,0.6153846153846154,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Wav2Vec_RP4096,650,UK Garage Neon,ok,0.6666666666666666,0.816669101647106,0.5,0.5,Gypsy Jazz,0.23784043489579068,0.4642857142857143,0.6666666666666666,0.6666666666666666,1.0,0.5
Wav2Vec_RP4096,1074,Acoustic Sim Natural,ok,0.9230769230769231,0.9813604789154974,1.0,1.0,Acoustic Sim,0.07371519873099056,0.8571428571428571,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,27,Wah-Wah Rock,ok,0.7377049180327869,0.788435455393983,0.25,0.25,Auto-Wah Funk,0.21905987163994198,0.5,0.3333333333333333,0.4,0.2857142857142857,0.6666666666666666
Wav2Vec_RP4096,75,Breakbeat Hardcore,ok,0.7555555555555555,0.8521512386771013,0.6,0.6,Nu Metal 7-String Wrath,0.21262194638328824,0.5652173913043478,0.7777777777777778,0.7499999999999999,1.0,0.6
Wav2Vec_RP4096,696,Granular Texture Prism,ok,0.8461538461538461,0.9699962991544061,1.0,1.0,Spectral Freeze Static,0.13149863099554954,0.7857142857142857,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,616,Drum and Bass Wave,ok,0.7045454545454546,0.9238784060262221,0.8333333333333334,0.8333333333333334,Afrobeat Guitar Mystic,0.1704516639783805,0.5357142857142857,0.8888888888888888,0.9090909090909091,1.0,0.8333333333333334
Wav2Vec_RP4096,547,Latin Rock Fusion Sahara,ok,0.5660377358490566,0.75281950439023,0.5555555555555556,0.5555555555555556,Samba Percussion,0.29718473498710213,0.5769230769230769,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Wav2Vec_RP4096,649,UK Garage Pulse,ok,0.5,0.7659387467618742,0.6666666666666666,0.6666666666666666,Country Twang,0.30299481628729985,0.5,0.6666666666666666,0.8,0.6666666666666666,1.0
Wav2Vec_RP4096,587,Future Bass Pluck Cyber,ok,0.9230769230769231,0.9875952962543002,1.0,1.0,Hyperpop Glitch Wave,0.0720732725088279,0.8928571428571429,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,836,Smooth Jazz Lead Nocturne,ok,0.5769230769230769,0.6878978602683136,0.5714285714285714,0.5714285714285714,Microtonal Fusion Void,0.35104073836351046,0.4583333333333333,0.6666666666666666,0.7272727272727272,0.6666666666666666,0.8
Wav2Vec_RP4096,46,Telephone EQ,ok,0.5178571428571429,0.3437772498672705,0.2,0.2,Math Rock Crystal - Studio Mix,0.555730444523463,0.37037037037037035,0.5555555555555556,0.33333333333333337,0.2,1.0
Wav2Vec_RP4096,224,Skweee Synth,ok,0.5094339622641509,0.8016183744139626,0.5555555555555556,0.5555555555555556,Lo-Fi Bedroom Pop Dream,0.2565865378895959,0.3611111111111111,0.5555555555555556,0.7142857142857143,1.0,0.5555555555555556
Wav2Vec_RP4096,714,Overtone Drone Echo,ok,0.5925925925925926,0.7682213029461294,0.5555555555555556,0.5555555555555556,Microtonal Ambient,0.32121057498989164,0.5333333333333333,0.5555555555555556,0.7142857142857143,0.625,0.8333333333333334
Wav2Vec_RP4096,875,Latin Jazz Velvet,ok,0.8461538461538461,0.9855346393758379,1.0,1.0,Bluegrass Flatpick Twang,0.0723551620861977,0.75,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,149,J-Rock Power,ok,0.6037735849056604,0.7993653895025974,0.5555555555555556,0.5555555555555556,Latin Rock Fusion Andean,0.24905375475204883,0.5,0.5555555555555556,0.7142857142857143,1.0,0.5555555555555556
Wav2Vec_RP4096,801,Funeral Doom Fury,ok,0.9230769230769231,0.985995577031821,1.0,1.0,Sludge Metal Chaos,0.07222518896951143,0.8333333333333334,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,103,Drone Metal,ok,0.6551724137931034,0.7174267477775982,0.375,0.375,Raw Black Metal Chaos,0.2940664716047223,0.41935483870967744,0.4444444444444444,0.5454545454545454,1.0,0.375
Wav2Vec_RP4096,63,Art Rock Theatrical,ok,0.5208333333333334,0.8001396063038901,0.6666666666666666,0.6666666666666666,Prepared Guitar Static,0.29980195883259764,0.3888888888888889,0.6666666666666666,0.8,1.0,0.6666666666666666
Wav2Vec_RP4096,835,Smooth Jazz Lead Velvet,ok,0.8461538461538461,0.9876497795669835,1.0,1.0,Middle Eastern Tropical,0.05880844599353482,0.75,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,436,Nostalgic VHS,ok,0.5,0.8345219226603777,0.6666666666666666,0.6666666666666666,Shoegaze Wall Echo,0.2845244344174776,0.34285714285714286,0.6666666666666666,0.8,1.0,0.6666666666666666
Wav2Vec_RP4096,1008,Indie Pop Jangle Hazy,ok,0.8461538461538461,0.9873440861635845,1.0,1.0,Memphis Soul Motown,0.06432249565850663,0.75,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,174,Nu-Disco Groove,ok,0.8461538461538461,0.9883437164523554,1.0,1.0,Dancy Synthpop,0.07391624860790065,0.8235294117647058,1.0,1.0,1.0,1.0
