method,tolerance,acc_at_tau,recall_at_tau,n_queries
CLAP,0.05,0.127168,0.554913,173
CLAP,0.1,0.352601,0.895954,173
CLAP,0.15,0.393064,0.942197,173
CLAP,0.2,0.433526,0.971098,173
FeatureNN,0.05,0.078431,0.362745,204
FeatureNN,0.1,0.245098,0.70098,204
FeatureNN,0.15,0.338235,0.784314,204
FeatureNN,0.2,0.431373,0.877451,204
PaSST,0.05,0.107843,0.416667,204
PaSST,0.1,0.284314,0.715686,204
PaSST,0.15,0.333333,0.803922,204
PaSST,0.2,0.45098,0.872549,204
TRR,0.05,0.171569,0.612745,204
TRR,0.1,0.460784,0.833333,204
TRR,0.15,0.588235,0.916667,204
TRR,0.2,0.661765,0.936275,204
Wav2Vec,0.05,0.093137,0.436275,204
Wav2Vec,0.1,0.294118,0.715686,204
Wav2Vec,0.15,0.348039,0.808824,204
Wav2Vec,0.2,0.382353,0.862745,204
