method,metric_impl,pnr_at_10_t0_05,pnr_at_10_t0_10,pnr_at_10_t0_15,pnr_at_1_t0_05,pnr_at_1_t0_10,pnr_at_1_t0_15,pnr_at_5_t0_05,pnr_at_5_t0_10,pnr_at_5_t0_15,query_idx,query_name,skip_reason,status,top1_acc_at_0_1,top1_cosine,top1_legacy_module_jaccard,top1_module,top1_name,top1_norm_l2,top1_recall,top1_switch_accuracy,top1_switch_f1,top1_switch_precision,top1_switch_recall,topk_names,topk_scores
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,0,0,0,1,1,614,Drum and Bass Bass,,ok,0.7272727272727273,0.9137256526445121,0.8333333333333334,0.8333333333333334,Reggae Skank Heritage,0.17673458131809,0.5714285714285714,0.8888888888888888,0.9090909090909091,1.0,0.8333333333333334,"[""Reggae Skank Heritage"", ""Electro Swing"", ""Funky Bassline"", ""Drum and Bass Neon"", ""Merseybeat Jangle"", ""Disco Funk"", ""Soul Clap Motown"", ""Tech House Groove"", ""Power Pop Indie"", ""2-Step Garage""]","[0.9240573350367655, 0.9181375207388287, 0.9176610621907059, 0.9094839476194927, 0.9072166344340188, 0.8994935021874978, 0.8970458783820148, 0.8924684107605827, 0.8839807683299192, 0.8786289739372592]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,0,1,0,0,0,0,0,1,469,Reggae Dubplate,,ok,0.7674418604651163,0.9169705983013121,0.8,0.8,Reggae Skank Sunset,0.15460451910385814,0.7272727272727273,0.8888888888888888,0.888888888888889,0.8,1.0,"[""Reggae Skank Sunset"", ""Southern Soul Gospel Memphis"", ""Garage Funk"", ""Hindi Pop"", ""Merseybeat Jangle"", ""Psybient Trance"", ""Fidget House"", ""Urban Cowboy"", ""Hip House"", ""Tech House Groove""]","[0.9431654182190315, 0.9268836535647271, 0.9257318717620183, 0.9163124694936343, 0.9146215477165645, 0.9100255679973518, 0.9088551426568273, 0.9069598891683321, 0.905362013811928, 0.9043678732345644]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,0,0,0,0,0,0,0,0,339,Dungeon Core,,ok,0.5555555555555556,0.854447446864507,0.8888888888888888,0.8888888888888888,Palm Muted Riff,0.2599733814612141,0.45161290322580644,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0,"[""Palm Muted Riff"", ""Introspective Lo-Fi"", ""Garage Soul"", ""Raw Black Metal Mayhem"", ""Nashville Session Twang"", ""Soul Clap Soulful"", ""Synthwave Guitar Cyber"", ""Reverse Ambient Void"", ""Nashville Session Outlaw"", ""Samba Percussion""]","[0.9053084816991915, 0.8939357359172238, 0.8855650026437718, 0.8803084941418411, 0.8738030319414273, 0.8724211472289408, 0.871492160058841, 0.8710331676317585, 0.8699777357087188, 0.8668521653900594]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,0,1,0,0,1,0,0,1,627,Techno Industrial Cyber,,ok,0.7045454545454546,0.9455497111075029,0.8333333333333334,0.8333333333333334,Indie Pop Jangle Charm,0.1434981456987746,0.5357142857142857,0.8888888888888888,0.9090909090909091,1.0,0.8333333333333334,"[""Indie Pop Jangle Charm"", ""K-Pop Shimmer Moonrise"", ""Memphis Soul Motown"", ""Nu Metal 7-String Doom"", ""Indie Pop Jangle Hazy"", ""Pirate Metal"", ""Technical Thrash Wrath"", ""Cosmic Disco"", ""Post-Punk Bassline"", ""Memphis Soul Memphis""]","[0.943526065802171, 0.9296392188747993, 0.9278837427549711, 0.9239217142896324, 0.9233391739563193, 0.9222303753956942, 0.9188833496051583, 0.9175608824840372, 0.9117653078939096, 0.9060965012926121]"
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,1,1,1,1,1,1,805,Funeral Doom Wrath,,ok,0.9743589743589743,0.994800841771068,1.0,1.0,Nu Metal 7-String Doom,0.04224606102384937,0.9444444444444444,1.0,1.0,1.0,1.0,"[""Nu Metal 7-String Doom"", ""Technical Thrash Wrath"", ""Nu Metal 7-String Onslaught"", ""Rave Hardcore"", ""Complex Jazz Fusion Blue"", ""Indie Pop Jangle Charm"", ""Granular Synth"", ""Americana Alt Twang"", ""Sludge Metal Chaos"", ""Drum and Bass Beat""]","[0.9442423445309005, 0.9286129869172519, 0.8843128517520232, 0.8829510461072081, 0.8826840501442024, 0.8792087419720311, 0.8789150713281023, 0.8739178527635009, 0.8676473687547916, 0.8655258240559666]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,0,0,0,0,0,0,0,0,638,Synthwave Guitar Bass,,ok,0.5625,0.7822392474095954,0.6666666666666666,0.6666666666666666,Native American Flute,0.3010679239898631,0.5666666666666667,0.6666666666666666,0.8,0.6666666666666666,1.0,"[""Native American Flute"", ""Chicago Soul Sweet"", ""Japanese Enka Moonrise"", ""Tango Dramatic"", ""Dream Pop Dream"", ""Indie Folk Fingerstyle"", ""Ritual Ambient"", ""Analog Synth Pad"", ""Post-Dubstep"", ""Old Time Radio""]","[0.8873271171283824, 0.8632273417834022, 0.8604568851882368, 0.858278807687908, 0.8541355855750601, 0.8484720395510121, 0.8409849326957132, 0.8397805651579178, 0.832623103948297, 0.8261639540126399]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,1,1,0,1,1,553,Celtic Folk Sunset,,ok,0.8461538461538461,0.9855346393758379,1.0,1.0,Middle Eastern Sahara,0.0723551620861977,0.75,1.0,1.0,1.0,1.0,"[""Middle Eastern Sahara"", ""J-Pop Bright"", ""Ukrainian Folk"", ""Japanese Enka Andean"", ""Indian Classical Sitar Sahara"", ""Latin Jazz Velvet"", ""Sierreño Accordion"", ""Scottish Folk"", ""Western Swing"", ""Indian Classical Sitar Mystic""]","[0.8242624332759938, 0.8081619684585198, 0.7949018225194511, 0.7944426618000776, 0.7882010728213448, 0.7818851516395872, 0.7755419427918228, 0.7754258133021286, 0.7674046253979687, 0.7628703034261642]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,1,1,0,1,1,551,Latin Rock Fusion Voyage,,ok,0.8717948717948718,0.9854137212636469,1.0,1.0,Indian Classical Sitar Moonrise,0.06799606291157127,0.7916666666666666,1.0,1.0,1.0,1.0,"[""Indian Classical Sitar Moonrise"", ""Western Swing Sunrise"", ""Nashville Session Frontier"", ""Latin Rock Fusion Moonrise"", ""Americana Alt Pickin"", ""Granular Texture Flux"", ""Smooth Jazz Lead Crescendo"", ""Deep House Synth"", ""Prepared Guitar Echo"", ""Celtic Folk Heritage""]","[0.8842003840908506, 0.8767248876290938, 0.8651120518934261, 0.8620999772643299, 0.8619887932893557, 0.8581978241263104, 0.8574297839495804, 0.8516323652131583, 0.8482922898484013, 0.8477730458941859]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,0,0,0,0,0,0,0,0,1,Dreamy Shoegaze,,ok,0.8936170212765957,0.9734088036096489,0.8,0.8,Dreamy Shoegaze Ethereal,0.09624212637966661,0.9285714285714286,0.8888888888888888,0.888888888888889,1.0,0.8,"[""Dreamy Shoegaze Ethereal"", ""Saturated Rhythm"", ""Saturated Rhythm - Alt Take"", ""Saturated Rhythm - Studio Mix"", ""Saturated Rhythm - Session Pass"", ""Saturated Rhythm - Extended Edit"", ""Saturated Rhythm - Signature Version"", ""Saturated Rhythm - Night Drive Cut"", ""Grunge Dirt"", ""Grunge Dirt Seattle""]","[1.0000000000000002, 0.8295603277505859, 0.8295603277505859, 0.8295603277505859, 0.8295603277505859, 0.8295603277505859, 0.8295603277505859, 0.8295603277505859, 0.8099392912034988, 0.8099392912034988]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,0,0,0,0,0,0,0,0,1104,Dreamy Shoegaze - Ethereal Wash Mix,,ok,0.8936170212765957,0.9734088036096489,0.8,0.8,Dreamy Shoegaze Ethereal,0.09624212637966661,0.9285714285714286,0.8888888888888888,0.888888888888889,1.0,0.8,"[""Dreamy Shoegaze Ethereal"", ""Saturated Rhythm"", ""Saturated Rhythm - Alt Take"", ""Saturated Rhythm - Studio Mix"", ""Saturated Rhythm - Session Pass"", ""Saturated Rhythm - Extended Edit"", ""Saturated Rhythm - Signature Version"", ""Saturated Rhythm - Night Drive Cut"", ""Grunge Dirt"", ""Grunge Dirt Seattle""]","[1.0000000000000002, 0.8295603277505859, 0.8295603277505859, 0.8295603277505859, 0.8295603277505859, 0.8295603277505859, 0.8295603277505859, 0.8295603277505859, 0.8099392912034988, 0.8099392912034988]"
