k,post_range_violations,post_switch_collisions,post_valid,pre_range_violations,pre_switch_collisions,pre_valid,query_idx,query_name,range_repaired,source_method,switch_repaired,temperature
5,[],[],True,[],[],True,934,Memphis Soul Memphis,False,Wav2Vec,False,0.05
5,[],[],True,['FlangerOn.Feedback'],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,853,Acid Jazz Funk Crescendo,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,379,Hollow Body Jazz,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger']",False,996,Americana Alt Honky,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Width'],"['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,962,Bluegrass Flatpick Sunrise,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,122,Futurebass Vocal Chop,False,Wav2Vec,True,0.05
5,[],[],True,[],[],True,991,Western Swing Outlaw,False,Wav2Vec,False,0.05
5,[],[],True,['FlangerOn.Depth'],"['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,850,Acid Jazz Funk Smoky,True,Wav2Vec,True,0.05
5,[],[],True,"['DelayOn.Feedback', 'DelayOn.Mix']","['Compressor', 'Delay', 'Driver', 'Screamer']",False,620,Dubstep Wobble Digital,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,987,Western Swing Dusty,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Delay', 'Flanger']",False,650,UK Garage Neon,False,Wav2Vec,True,0.05
5,[],[],True,[],[],True,1074,Acoustic Sim Natural,False,Wav2Vec,False,0.05
5,[],[],True,[],[],True,27,Wah-Wah Rock,False,Wav2Vec,False,0.05
5,[],[],True,"['CompressorOn.Release', 'FlangerOn.Depth', 'FlangerOn.Feedback']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,75,Breakbeat Hardcore,True,Wav2Vec,True,0.05
