layer_idx,param_distance,cosine,n_samples
1,6.397016421434247,0.6690609762745519,31
2,5.882299461553406,0.6701614645219618,31
3,6.105420805678121,0.6919698744050918,31
4,6.1241039864991125,0.7159879169156474,31
5,6.5368415568425995,0.7247516657075574,31
6,6.861058183920975,0.6726637088483379,31
7,6.402995869416185,0.66833080591694,31
8,6.277883382625187,0.6388578549508126,31
9,6.1368623732180465,0.6307792903915528,31
10,5.312483116469026,0.626902122651377,31
11,6.32676806051485,0.6986980245959374,31
12,6.371162165417458,0.6624717164424158,31
