row_idx,song_name,base_name,split,audio_path_raw,audio_path_resolved,audio_exists,style_count,feature_count,has_trr,has_wav2vec,has_featurenn,has_clap,has_clap_cache
0,Studio Clean,Studio Clean,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Studio Clean.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Studio Clean.wav,1,4,6,1,1,1,0,1
1,Dreamy Shoegaze,Dreamy Shoegaze,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Dreamy Shoegaze.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Dreamy Shoegaze.wav,1,4,6,1,1,1,0,1
2,Neo-Soul Clean,Neo-Soul Clean,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Neo-Soul Clean.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Neo-Soul Clean.wav,1,4,6,1,1,1,0,1
3,80s Pop Clean,80s Pop Clean,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\80s Pop Clean.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/80s Pop Clean.wav,1,4,6,1,1,1,0,1
4,Ambient Swells,Ambient Swells,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Ambient Swells.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Ambient Swells.wav,1,4,6,1,1,1,0,1
5,Spanky Funk,Spanky Funk,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Spanky Funk.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Spanky Funk.wav,1,4,6,1,1,1,0,1
6,Jazz Box,Jazz Box,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Jazz Box.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Jazz Box.wav,1,4,6,1,1,1,0,1
7,Acoustic Sim,Acoustic Sim,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Acoustic Sim.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Acoustic Sim.wav,1,4,6,1,1,1,0,1
8,Lo-Fi Hip Hop,Lo-Fi Hip Hop,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Lo-Fi Hip Hop.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Lo-Fi Hip Hop.wav,1,4,6,1,1,1,0,1
9,Math Rock Crystal,Math Rock Crystal,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Math Rock Crystal.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Math Rock Crystal.wav,1,4,6,1,1,1,0,1
10,Texas Blues,Texas Blues,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Texas Blues.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Texas Blues.wav,1,4,5,1,1,1,0,1
11,Tweed Breakup,Tweed Breakup,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Tweed Breakup.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Tweed Breakup.wav,1,4,5,1,1,1,0,1
12,British Invasion,British Invasion,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\British Invasion.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/British Invasion.wav,1,4,6,1,1,1,0,1
